frame,X,Y,Z
579,51.1367,95.8851,47.7515
580,50.9613,96.4210,47.8955
581,50.7515,96.8744,47.8968
582,50.5858,97.1265,47.8163
583,50.6092,97.3880,47.7956
584,50.7014,97.7986,47.8438
585,50.7774,98.0897,47.8454
586,50.8869,98.1933,47.8308
587,50.9713,98.3640,47.8477
588,51.1028,98.6203,47.8571
589,51.1822,98.8271,47.7990
590,51.1660,98.9778,47.8073
591,51.1323,99.1147,47.9370
592,51.0437,99.4844,48.0808
593,50.9026,99.9657,48.1882
594,50.7732,100.3008,48.3768
595,50.7349,100.6106,48.5161
596,50.8557,100.8625,48.6554
597,50.9489,101.0585,48.7117
598,50.9587,101.3918,48.7951
599,50.9416,101.6996,48.8700
600,50.9508,101.9123,48.9598
601,50.9757,102.1123,49.0309
602,50.9701,102.1431,49.1285
603,50.8664,101.9351,49.1706
604,50.6205,101.6270,49.1501
605,50.2690,101.2226,49.0832
606,50.0621,100.7106,49.0563
607,49.9165,100.4391,49.0482
608,49.8714,100.2409,49.0357
609,49.8249,100.0939,48.9834
610,49.8416,99.8622,48.9191
611,49.7711,99.6220,48.8177
612,49.7729,99.2815,48.7877
613,49.6312,98.9306,48.7332
614,49.4646,98.5576,48.7373
615,49.2661,98.1327,48.6151
616,49.1671,97.9141,48.5507
617,48.8987,97.8158,48.5162
618,48.7357,97.7760,48.5761
619,48.5948,97.8236,48.6281
620,48.3842,97.8333,48.7289
621,48.1739,97.8294,48.8237
622,48.0649,98.0078,48.9231
623,47.9374,97.9803,49.0645
624,47.8706,97.6369,48.9210
625,47.7505,97.1963,48.8549
626,47.6377,96.8508,48.8336
627,47.5745,96.5690,48.6514
628,47.5523,96.6526,48.6014
629,47.4763,96.5600,48.6891
630,47.4164,96.2240,48.6380
631,47.3008,95.8407,48.5637
632,47.1717,95.5101,48.4565
633,47.0748,95.0973,48.4940
634,46.8991,94.4871,48.4300
635,46.7940,94.1739,48.3278
636,46.7507,93.9694,48.3391
637,46.7418,94.0274,48.3883
638,46.6715,94.2583,48.3865
639,46.5045,94.3504,48.4106
640,46.2823,94.2595,48.3889
641,46.1279,94.1072,48.4669
642,45.9796,93.7877,48.3454
643,45.7299,93.3049,48.2019
644,45.5565,93.1146,48.1767
645,45.4560,92.8646,48.0918
646,45.3525,92.7861,48.0569
647,45.1835,92.8371,48.0952
648,45.0214,92.7056,48.1554
649,44.9264,92.5186,48.1663
650,44.7643,92.4852,48.1516
651,44.6736,92.1852,48.0394
652,44.5373,91.9317,47.9536
653,44.3112,91.7052,47.8824
654,43.9888,91.5302,47.8276
655,43.7530,91.4607,47.8023
656,43.5676,91.5265,47.8115
657,43.5425,91.4675,47.7574
658,43.4665,91.3590,47.7068
659,43.3548,91.4288,47.7450
660,43.2052,91.4333,47.7578
661,43.0329,91.3986,47.7554
662,42.8254,91.3761,47.7519
663,42.7024,91.2905,47.7330
664,42.5653,91.2743,47.7289
665,42.5447,91.3460,47.7084
666,42.6998,91.3112,47.7186
667,42.8130,91.3266,47.7336
668,42.7543,91.4505,47.7292
669,42.6355,91.4262,47.8163
670,42.5211,91.4831,47.8846
671,42.4336,91.4976,47.8446
672,42.4263,91.3267,47.7794
673,42.5053,91.2255,47.7419
674,42.6338,91.2742,47.7463
675,42.7524,91.3486,47.7221
676,42.8214,91.5015,47.7328
677,42.9037,91.6299,47.7485
678,42.9753,91.6351,47.7415
679,42.9157,91.5645,47.7184
680,42.8382,91.5215,47.7037
681,42.8170,91.2796,47.6449
682,42.7611,91.2060,47.6256
683,42.6845,91.2332,47.6300
684,42.6559,91.3413,47.7304
685,42.6366,91.5143,47.8158
686,42.6457,91.6629,47.8399
687,42.6727,91.7164,47.8463
688,42.6272,91.7114,47.8405
689,42.5777,91.7357,47.8811
690,42.6981,91.5807,47.8302
691,42.7509,91.4152,47.7825
692,42.7819,91.3520,47.7623
693,42.7170,91.3573,47.7208
694,42.6544,91.5043,47.7292
695,42.6390,91.5208,47.7178
696,42.6938,91.4595,47.6954
697,42.7252,91.4949,47.6987
698,42.6821,91.5235,47.6634
699,42.7607,91.4534,47.6996
700,42.7447,91.4464,47.7285
701,42.6935,91.3971,47.7727
702,42.6655,91.3122,47.7103
703,42.6442,91.4776,47.7232
704,42.5898,91.5762,47.7302
705,42.6206,91.5558,47.7549
706,42.6598,91.5439,47.7701
707,42.6847,91.5091,47.7347
708,42.7400,91.5165,47.7588
709,42.7307,91.5564,47.7809
710,42.7460,91.5807,47.7945
711,42.7983,91.5237,47.7867
712,42.7263,91.4519,47.7715
713,42.7035,91.3562,47.8266
714,42.6281,91.2617,47.8499
715,42.5799,91.3493,47.8976
716,42.5505,91.3489,47.9899
717,42.6169,91.3140,48.0385
718,42.6754,91.4015,48.0933
719,42.7332,91.4351,48.0461
720,42.8106,91.3309,48.0655
721,42.8147,91.3038,48.0847
722,42.8394,91.2158,48.0798
723,42.7892,91.1727,48.1923
724,42.7994,91.2197,48.2774
725,42.9748,91.1507,48.2705
726,43.2080,90.9671,48.2351
727,43.3895,90.8575,48.2148
728,43.5833,90.7210,48.1874
729,43.7627,90.6040,48.1638
730,43.9314,90.6069,48.1677
731,43.8462,90.4807,48.2132
732,43.7763,90.3409,48.1872
733,43.7552,90.2574,48.1721
734,43.8905,90.1014,48.1406
735,44.1611,89.8051,48.1916
736,44.3451,89.7335,48.0952
737,44.5187,89.6555,48.0302
738,44.7219,89.6764,48.1988
739,44.8847,89.7256,48.3092
740,44.9219,89.7350,48.2936
741,45.0908,89.6623,48.3064
742,45.2137,89.5830,48.3061
743,45.4762,89.5107,48.2652
744,45.7172,89.4242,48.2699
745,45.9049,89.3008,48.2568
746,46.1010,89.1836,48.2782
747,46.3228,89.1149,48.2931
748,46.5365,89.1303,48.3927
749,46.7726,88.9609,48.4124
750,47.0414,88.7530,48.4015
751,47.2227,88.6646,48.4038
752,47.2705,88.5385,48.3871
753,47.3209,88.3826,48.3967
754,47.2060,88.2952,48.3636
755,47.1788,88.1989,48.3722
756,47.3099,88.0269,48.3910
757,47.4741,87.8168,48.3788
758,47.6587,87.5922,48.3118
759,47.8743,87.4231,48.2653
760,48.0648,87.3502,48.2831
761,48.2440,87.1548,48.2974
762,48.4374,86.9836,48.2187
763,48.6591,86.8104,48.1567
764,48.8959,86.6107,48.2130
765,49.0804,86.4555,48.2392
766,49.2335,86.3270,48.2473
767,49.3261,86.2138,48.2438
768,49.4851,86.1836,48.2521
769,49.5998,86.2379,48.2743
770,49.6675,86.2537,48.3598
771,49.7727,86.1559,48.3871
772,49.9408,86.0628,48.3971
773,50.0652,85.9076,48.3423
774,50.2261,85.6714,48.2774
775,50.3234,85.4937,48.2300
776,50.3417,85.2698,48.2116
777,50.3571,85.1055,48.0035
778,50.3455,85.0065,47.8782
779,50.4241,84.8403,47.7794
780,50.5360,84.5888,47.7238
781,50.6873,84.4032,47.6837
782,50.8223,84.2372,47.5715
783,50.9693,84.0028,47.4357
784,51.0792,83.7819,47.3739
785,51.1900,83.6032,47.2127
786,51.2558,83.5320,47.1243
787,51.3274,83.9588,47.1815
788,51.2596,84.5377,47.2894
789,51.2351,85.1463,47.3773
790,51.2175,85.6557,47.4637
791,51.2064,85.9529,47.5516
792,51.2377,86.3122,47.6472
